combo_id	status	exit_code	metrics_found	ckpt_dir	backbone	seed	lr	optimizer	weight_decay	grad_clip	dropout	lr_scheduler	lr_milestones	lr_gamma	lambda_envpred	lambda_future_mi	lambda_swap	lambda_mask_sparse	sparse_target	train_loss_scale	mae	mse	rmse	mape	wape	metric_path
stid_mlp_combo_0001	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0001	stid_mlp	2026	0.001	adamw	1e-5	3.0	0.1	multistep	[30,60,80]	0.5	0.05	0.01	0.05	1e-3	0.3	normalized	14.788586135383126	567.5162544594154	23.822599657875617	9.441612389710572	6.961368900161606	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0001/best_test_metrics.json
graphwavenet_combo_0002	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/graphwavenet/combo_0002	graphwavenet	2026	0.001	adamw	1e-4	5.0	0.3	multistep	[30,60,80]	0.5	0.05	0.01	0.05	1e-3	0.3	normalized	14.37440570195516	551.5292088963964	23.48465901171223	8.84976187267819	6.7502237783895955	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/graphwavenet/combo_0002/best_test_metrics.json
agcrn_combo_0003	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0003	agcrn	2026	0.001	adamw	1e-5	5.0	0.1	multistep	[30,60,80]	0.5	0.05	0.01	0.05	1e-3	0.3	normalized	68.38348185908687	10026.975286810248	100.13478559826375	101.57016860686981	39.5463589161366	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0003/best_test_metrics.json
stid_mlp_combo_0004	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0004	stid_mlp	2026	0.001	adamw	1e-5	3.0	0.1	multistep	[30,60,80]	0.5	0.05	0.03	0.05	1e-3	0.3	normalized	14.849214214462418	566.6990849262959	23.80544233838758	9.764116678151998	7.021330665897679	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0004/best_test_metrics.json
graphwavenet_combo_0005	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/graphwavenet/combo_0005	graphwavenet	2026	0.001	adamw	1e-4	5.0	0.3	multistep	[30,60,80]	0.5	0.05	0.03	0.05	1e-3	0.3	normalized	70.86681029173705	10877.273727829392	104.29416919382115	98.5356070028769	39.346796018583284	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/graphwavenet/combo_0005/best_test_metrics.json
agcrn_combo_0006	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0006	agcrn	2026	0.001	adamw	1e-5	5.0	0.1	multistep	[30,60,80]	0.5	0.05	0.03	0.05	1e-3	0.3	normalized	67.96270655726528	9950.473060951577	99.75205792840354	100.95293048480609	39.30641660604391	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0006/best_test_metrics.json
stid_mlp_combo_0007	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0007	stid_mlp	2026	0.0005	adamw	1e-5	3.0	0.1	multistep	[30,60,80]	0.5	0.05	0.01	0.05	1e-3	0.3	normalized	15.558154677485561	606.0948772258587	24.618994236683566	10.503604540953765	7.379757674964699	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0007/best_test_metrics.json
agcrn_combo_0008	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0008	agcrn	2026	0.003	adamw	1e-5	5.0	0.1	multistep	[30,60,80]	0.5	0.05	0.01	0.05	1e-3	0.3	normalized	51.80242414732237	8088.230108037726	89.9345879405567	71.63320391886943	29.063928277642876	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0008/best_test_metrics.json
stid_mlp_combo_0009	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0009	stid_mlp	2026	0.0005	adamw	1e-5	3.0	0.1	multistep	[30,60,80]	0.5	0.05	0.03	0.05	1e-3	0.3	normalized	15.186968524176795	588.9641973821966	24.268584577230634	9.533488935178465	7.155424302762693	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0009/best_test_metrics.json
agcrn_combo_0010	failed	139	0	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0010	agcrn	2026	0.003	adamw	1e-5	5.0	0.1	multistep	[30,60,80]	0.5	0.05	0.03	0.05	1e-3	0.3	normalized	nan	nan	nan	nan	nan	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0010/best_test_metrics.json
