combo_id	status	exit_code	metrics_found	ckpt_dir	seed	lr	optimizer	weight_decay	grad_clip	lr_scheduler	lr_milestones	lr_gamma	lambda_envpred	lambda_future_mi	lambda_swap	lambda_mask_sparse	sparse_target	train_loss_scale	mae	mse	rmse	mape	metric_path
combo_0001	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0001	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.03	0.03	0.03	1e-3	0.25	normalized	15.358197461377394	589.8026874989002	24.28585364978757	10.207109575873023	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0001/best_test_metrics.json
combo_0002	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0002	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.03	0.03	0.03	1e-3	0.3	normalized	15.352798466209892	589.9089215940184	24.28804071130519	10.184302622133547	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0002/best_test_metrics.json
combo_0003	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0003	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.03	0.03	0.05	1e-3	0.25	normalized	15.352229595184326	589.8224373894769	24.286260259444575	10.186235664127109	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0003/best_test_metrics.json
combo_0004	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0004	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.03	0.03	0.05	1e-3	0.3	normalized	15.342876447213662	589.4528651881863	24.278650398821313	10.16951945880512	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0004/best_test_metrics.json
combo_0005	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0005	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.03	0.05	0.03	1e-3	0.25	normalized	15.562187186232558	592.4454849518097	24.3402030589683	11.630629840197864	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0005/best_test_metrics.json
combo_0006	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0006	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.03	0.05	0.03	1e-3	0.3	normalized	15.560881580318416	592.307896657033	24.337376536040875	11.576708316802979	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0006/best_test_metrics.json
combo_0007	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0007	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.03	0.05	0.05	1e-3	0.25	normalized	15.603484231072503	598.4503950514235	24.46324579959543	10.541672921395516	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0007/best_test_metrics.json
combo_0008	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0008	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.03	0.05	0.05	1e-3	0.3	normalized	15.620401532800347	589.9588575620909	24.28906868453566	11.645002257716548	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0008/best_test_metrics.json
combo_0009	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0009	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.05	0.03	0.03	1e-3	0.25	normalized	15.358197461377394	589.8026874989002	24.28585364978757	10.207109575873023	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0009/best_test_metrics.json
combo_0010	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0010	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.05	0.03	0.03	1e-3	0.3	normalized	15.352798466209892	589.9089215940184	24.28804071130519	10.184302622133547	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0010/best_test_metrics.json
